Item No.,Quantity,Name,Material
1,1,bottom_mgn15_short_duct,PETG
2,4,"M3  Hex nut ",- None -
3,4,DIN 912 M3 40 mm,- None -
4,2,DIN 912 M3 20 mm,- None -
5,4,DIN 912 M3 10 mm,- None -
6,1,top_bmg_mgn15,PETG
7,1,top_endstop_plug_mgn15,PETG
