Item,Quantity,Name,Material
1,1,top_endstop_plug_mgn15,PETG
2,1,top_titan_mgn15,PETG
3,5,"M3  Hex nut ",- None -
4,4,DIN 912 M3 10 mm,- None -
5,4,DIN 912 M3 40 mm,- None -
6,1,DIN 912 M3 6 mm,- None -
7,1,bottom_mgn15,PETG
8,1,Duct v2.1 Straight,PETG
9,2,DIN 912 M3 20 mm,- None -
